TimeStamp,NbrPulseA,NbrPulseB,NbrPulseC,NbrPulseD,NbrCoincidencePulseAB,NbrCoincidencePulseAC,NbrCoincidencePulseDB,NbrCoincidencePulseDC,NbrCoincidencePulseABC
2025-03-13T10:48:15.425499,59758,642012,86393,38,19921,2395,6,1,646
2025-03-13T10:48:15.519229,60115,641860,85841,52,19733,2561,13,1,672
2025-03-13T10:48:15.627998,60322,642847,86489,45,19922,2510,17,2,666
2025-03-13T10:48:15.722743,59868,1285526,86583,47,19906,2526,12,1,692
2025-03-13T10:48:15.817481,60075,642515,86156,33,19919,2606,9,0,691
2025-03-13T10:48:15.911213,120410,643205,86339,54,20241,2425,15,0,666
2025-03-13T10:48:16.020575,60017,642063,86133,45,19709,2563,12,1,650
2025-03-13T10:48:16.129912,60104,643101,86415,49,20144,2538,13,0,700
2025-03-13T10:48:16.223668,60012,642659,86188,45,19909,2578,6,0,661
2025-03-13T10:48:16.317369,60147,643892,86488,51,20137,2575,11,0,726
2025-03-13T10:48:16.426717,59911,642889,86076,43,19737,2512,7,0,644
2025-03-13T10:48:16.523559,59651,1285235,86417,32,19655,2470,3,0,657
2025-03-13T10:48:16.617287,59589,643122,86043,45,19915,2543,6,0,713
2025-03-13T10:48:16.711019,60123,1286322,86224,49,19897,2556,14,0,710
2025-03-13T10:48:16.827893,60407,642499,86221,50,20174,2555,13,1,703
2025-03-13T10:48:16.921607,60317,1285791,86049,43,19992,2504,12,1,665
2025-03-13T10:48:17.015340,59892,643036,86338,56,19893,2490,17,1,667
2025-03-13T10:48:17.109063,59866,643134,86430,40,19838,2578,17,1,688
2025-03-13T10:48:17.234067,59922,644142,86708,30,19852,2567,14,1,695
2025-03-13T10:48:17.316385,60179,1288659,86230,51,20146,2567,12,0,691
2025-03-13T10:48:17.415159,59632,643468,86201,41,19762,2509,9,0,628
2025-03-13T10:48:17.509399,59919,642684,86123,42,19882,2511,8,0,667
2025-03-13T10:48:17.634381,59748,1286740,85866,36,20004,2407,9,0,678
2025-03-13T10:48:17.728102,60185,643388,86344,47,20062,2493,9,0,708
2025-03-13T10:48:17.821830,60080,643893,86286,63,20048,2454,17,1,645
2025-03-13T10:48:17.915558,59978,1288122,86151,36,19876,2527,6,0,691
2025-03-13T10:48:18.024908,59971,1931892,86035,36,20295,2479,9,0,646
2025-03-13T10:48:18.118654,59882,2575827,86136,47,20053,2584,13,1,691
2025-03-13T10:48:18.221640,60352,643736,85980,47,20112,2567,13,1,701
